NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_6075_length_294_cov_0.815900_1	Pfam	PF00009	IPR000795	Elongation factor Tu GTP binding domain	GO:0003924,GO:0005525	"NA"
NODE_6077_length_293_cov_2.126050_1	Pfam	PF10588	IPR019574	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	GO:0016491,GO:0055114	"NA"
NODE_6078_length_293_cov_2.042017_1	Pfam	PF03323	IPR004995	Bacillus/Clostridium GerA spore germination protein	GO:0009847,GO:0016021	"NA"
NODE_6079_length_293_cov_2.004202_2	Pfam	PF10135	IPR019301	Rod binding protein	"NA"	"NA"
NODE_608_length_2196_cov_2.510976_1	Pfam	PF01547	IPR006059	Bacterial extracellular solute-binding protein	GO:0006810	"NA"
NODE_6083_length_293_cov_1.621849_1	TIGRFAM,CDD,Pfam	TIGR00254,cd01949,PF00990	IPR000160	GGDEF: diguanylate cyclase (GGDEF) domain,GGDEF,Diguanylate cyclase, GGDEF domain	"NA"	"NA"
NODE_6087_length_293_cov_1.478992_1	Pfam,CDD	PF07499,cd14332	IPR011114	RuvA, C-terminal domain,UBA_RuvA_C	GO:0005524,GO:0006281,GO:0006310,GO:0009378,GO:0009379	"NA"
NODE_609_length_2194_cov_2.201496_1	Hamap,TIGRFAM,Pfam,Pfam,Hamap,CDD	MF_01807,TIGR02225,PF02899,PF00589,MF_01808,cd00798	IPR011932,IPR004107,IPR002104,IPR023009	Tyrosine recombinase XerD [xerD].,recomb_XerD: tyrosine recombinase XerD,Phage integrase, N-terminal SAM-like domain,Phage integrase family,Tyrosine recombinase XerC [xerC].,INT_XerDC_C	GO:0006310,GO:0009009,GO:0003677,GO:0015074	"NA"
NODE_609_length_2194_cov_2.201496_2	TIGRFAM,Pfam	TIGR02831,PF01944	IPR014196,IPR002798	spo_II_M: stage II sporulation protein M,Stage II sporulation protein M	"NA"	"NA"
NODE_609_length_2194_cov_2.201496_3	Pfam	PF13263	"NA"	PHP-associated	"NA"	"NA"
NODE_6090_length_293_cov_1.361345_1	Pfam	PF00456	IPR005474	Transketolase, thiamine diphosphate binding domain	"NA"	KEGG:00730+2.2.1.7,KEGG:00900+2.2.1.7
NODE_6091_length_293_cov_1.193277_1	Pfam	PF14305	IPR029465	TupA-like ATPgrasp	"NA"	"NA"
NODE_6095_length_293_cov_1.189076_1	Pfam	PF00395	IPR001119	S-layer homology domain	"NA"	"NA"
NODE_6097_length_293_cov_0.894958_1	Pfam	PF04127	IPR007085	DNA / pantothenate metabolism flavoprotein	"NA"	KEGG:00770+6.3.2.5
NODE_61_length_38374_cov_347.633002_1	Pfam,CDD,TIGRFAM,Pfam	PF08439,cd09607,TIGR02290,PF01432	IPR013647,IPR034006,IPR011977,IPR001567	Oligopeptidase F,M3B_PepF_2,M3_fam_3: oligoendopeptidase, pepF/M3 family,Peptidase family M3	GO:0004222,GO:0006508	"NA"
NODE_61_length_38374_cov_347.633002_10	Pfam	PF01613	IPR002563	Flavin reductase like domain	GO:0010181	"NA"
NODE_61_length_38374_cov_347.633002_11	CDD	cd00056	IPR003265	ENDO3c	GO:0006284	"NA"
NODE_61_length_38374_cov_347.633002_12	TIGRFAM,Hamap,Pfam	TIGR00230,MF_00095,PF03749	IPR005224	sfsA: sugar fermentation stimulation protein,Sugar fermentation stimulation protein A [sfsA].,Sugar fermentation stimulation protein	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_13	Pfam	PF04199	IPR007325	Putative cyclase	GO:0004061,GO:0019441	KEGG:00380+3.5.1.9,KEGG:00630+3.5.1.9
NODE_61_length_38374_cov_347.633002_14	Pfam	PF03099	IPR004143	Biotin/lipoate A/B protein ligase family	GO:0006464	"NA"
NODE_61_length_38374_cov_347.633002_16	CDD,Pfam	cd02062,PF00881	IPR029479	Nitro_FMN_reductase,Nitroreductase family	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_18	Pfam	PF00881	IPR029479	Nitroreductase family	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_19	Pfam	PF01047	IPR000835	MarR family	GO:0003700,GO:0006355	"NA"
NODE_61_length_38374_cov_347.633002_2	TIGRFAM,Pfam,Pfam,CDD	TIGR00121,PF03099,PF02237,cd16442	IPR004408,IPR004143,IPR003142	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase,Biotin/lipoate A/B protein ligase family,Biotin protein ligase C terminal domain,BPL	GO:0004077,GO:0006464	KEGG:00780+6.3.4.15
NODE_61_length_38374_cov_347.633002_20	Pfam,CDD	PF02127,cd05659	IPR001948	Aminopeptidase I zinc metalloprotease (M18),M18_API	GO:0004177,GO:0006508,GO:0008270	"NA"
NODE_61_length_38374_cov_347.633002_21	CDD,TIGRFAM,Pfam,Hamap	cd02023,TIGR00235,PF00485,MF_00551	IPR000764,IPR006083,IPR026008	UMPK,udk: uridine kinase,Phosphoribulokinase / Uridine kinase family,Uridine kinase [udk].	GO:0005524,GO:0008152,GO:0016301,GO:0004849,GO:0016773	KEGG:00240+2.7.1.48,KEGG:00983+2.7.1.48
NODE_61_length_38374_cov_347.633002_22	Pfam	PF00596	IPR001303	Class II Aldolase and Adducin N-terminal domain	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_23	CDD,Pfam,TIGRFAM	cd00077,PF01966,TIGR00277	IPR003607,IPR006674,IPR006675	HDc,HD domain,HDIG: HDIG domain	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_24	CDD,Pfam	cd13831,PF00216	IPR000119	HU,Bacterial DNA-binding protein	GO:0003677	"NA"
NODE_61_length_38374_cov_347.633002_25	Pfam	PF02397	IPR003362	Bacterial sugar transferase	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_26	CDD,Pfam,Pfam,CDD	cd00009,PF00072,PF00158,cd00156	IPR001789,IPR002078	AAA,Response regulator receiver domain,Sigma-54 interaction domain,REC	GO:0000160,GO:0005524,GO:0006355,GO:0008134	"NA"
NODE_61_length_38374_cov_347.633002_27	Pfam,CDD	PF00005,cd03301	IPR003439	ABC transporter,ABC_MalK_N	GO:0005524,GO:0016887	"NA"
NODE_61_length_38374_cov_347.633002_29	Pfam,CDD	PF01145,cd08826	IPR001107	SPFH domain / Band 7 family,SPFH_eoslipins_u1	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_3	CDD,Pfam	cd02440,PF13489	"NA"	AdoMet_MTases,Methyltransferase domain	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_30	CDD,Pfam,TIGRFAM	cd00429,PF00834,TIGR01163	IPR000056	RPE,Ribulose-phosphate 3 epimerase family,rpe: ribulose-phosphate 3-epimerase	GO:0005975,GO:0016857	KEGG:00030+5.1.3.1,KEGG:00040+5.1.3.1,KEGG:00710+5.1.3.1
NODE_61_length_38374_cov_347.633002_31	TIGRFAM,CDD,Pfam,Hamap	TIGR00157,cd01854,PF03193,MF_01820	IPR004881,IPR010914	TIGR00157: ribosome small subunit-dependent GTPase A,YjeQ_EngC,RsgA GTPase,Putative ribosome biogenesis GTPase RsgA [rsgA].	GO:0003924,GO:0005525	"NA"
NODE_61_length_38374_cov_347.633002_32	CDD,CDD,CDD,Pfam,Pfam,Pfam	cd06577,cd06577,cd06577,PF03793,PF03793,PF03793	IPR005543	PASTA_pknB,PASTA_pknB,PASTA_pknB,PASTA domain,PASTA domain,PASTA domain	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_35	Pfam,Pfam,Hamap,CDD,CDD	PF00551,PF02911,MF_00182,cd08704,cd08646	IPR002376,IPR005793,IPR005794	Formyl transferase,Formyl transferase, C-terminal domain,Methionyl-tRNA formyltransferase [fmt].,Met_tRNA_FMT_C,FMT_core_Met-tRNA-FMT_N	GO:0009058,GO:0016742,GO:0004479,GO:0071951	KEGG:00670+2.1.2.9,KEGG:00970+2.1.2.9
NODE_61_length_38374_cov_347.633002_36	Hamap,Pfam,TIGRFAM,CDD	MF_00163,PF01327,TIGR00079,cd00487	IPR023635	Peptide deformylase [def].,Polypeptide deformylase,pept_deformyl: peptide deformylase,Pep_deformylase	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_37	Pfam	PF01569	IPR000326	PAP2 superfamily	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_39	Pfam	PF04165	IPR007294	Protein of unknown function (DUF401)	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_4	Pfam	PF04402	IPR007497	Protein of unknown function (DUF541)	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_40	Pfam,CDD	PF01979,cd01309	IPR006680	Amidohydrolase family,Met_dep_hydrolase_C	GO:0016787	"NA"
NODE_61_length_38374_cov_347.633002_41	Pfam,TIGRFAM,Hamap	PF00012,TIGR02350,MF_00332	IPR013126,IPR012725	Hsp70 protein,prok_dnaK: chaperone protein DnaK,Chaperone protein DnaK [dnaK].	GO:0005524,GO:0006457,GO:0051082	"NA"
NODE_61_length_38374_cov_347.633002_42	Pfam,Pfam,CDD,Hamap,Pfam,CDD,CDD	PF00684,PF01556,cd10747,MF_01152,PF00226,cd10719,cd06257	IPR001305,IPR002939,IPR012724,IPR001623	DnaJ central domain,DnaJ C terminal domain,DnaJ_C,Chaperone protein DnaJ [dnaJ].,DnaJ domain,DnaJ_zf,DnaJ	GO:0031072,GO:0051082,GO:0005524,GO:0006457,GO:0009408	"NA"
NODE_61_length_38374_cov_347.633002_43	Pfam	PF12732	IPR024623	YtxH-like protein	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_46	Pfam	PF12679	IPR032688	ABC-2 family transporter protein	GO:0006810	"NA"
NODE_61_length_38374_cov_347.633002_47	Pfam	PF09986	IPR018708	Uncharacterized protein conserved in bacteria (DUF2225)	"NA"	"NA"
NODE_61_length_38374_cov_347.633002_6	Hamap,CDD,Pfam,Pfam	MF_00942,cd00056,PF00633,PF00730	IPR005759,IPR003265,IPR000445	Endonuclease III [nth].,ENDO3c,Helix-hairpin-helix motif,HhH-GPD superfamily base excision DNA repair protein	GO:0003906,GO:0006284,GO:0003677	"NA"
NODE_61_length_38374_cov_347.633002_7	Pfam	PF00588	IPR001537	SpoU rRNA Methylase family	GO:0003723,GO:0006396,GO:0008173	"NA"
NODE_61_length_38374_cov_347.633002_8	CDD,Pfam	cd01011,PF00857	IPR000868	nicotinamidase,Isochorismatase family	GO:0003824,GO:0008152	"NA"
NODE_61_length_38374_cov_347.633002_9	Pfam	PF00456	IPR005474	Transketolase, thiamine diphosphate binding domain	"NA"	KEGG:00730+2.2.1.7,KEGG:00900+2.2.1.7
NODE_610_length_2190_cov_5.582670_1	Pfam	PF13936	IPR025246	Helix-turn-helix domain	"NA"	"NA"
NODE_6106_length_292_cov_2.097046_1	Pfam	PF07196	IPR010810	Flagellin hook IN motif	GO:0006928,GO:0009288,GO:0044781	"NA"
NODE_611_length_2187_cov_2.099437_1	Pfam	PF14286	IPR025945	DHHW protein	"NA"	"NA"
NODE_611_length_2187_cov_2.099437_2	Pfam	PF14286	IPR025945	DHHW protein	"NA"	"NA"
NODE_611_length_2187_cov_2.099437_3	CDD,Pfam	cd01046,PF02915	IPR003251	Rubrerythrin_like,Rubrerythrin	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_6111_length_292_cov_1.493671_1	Pfam,CDD	PF00583,cd04301	IPR000182	Acetyltransferase (GNAT) familyT_SF	GO:0008080	"NA"
NODE_6113_length_292_cov_1.493671_1	Pfam	PF04422	IPR007516	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term	"NA"	"NA"
NODE_6114_length_292_cov_1.476793_1	Pfam	PF14620	IPR014239	YpeB sporulation	GO:0009847	"NA"
NODE_6115_length_292_cov_1.198312_1	Pfam	PF00873	IPR001036	AcrB/AcrD/AcrF family	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_6116_length_292_cov_1.198312_1	Pfam	PF13242	"NA"	HAD-hyrolase-like	"NA"	"NA"
NODE_6117_length_292_cov_1.198312_1	Pfam	PF00300	IPR013078	Histidine phosphatase superfamily (branch 1)	"NA"	"NA"
NODE_612_length_2184_cov_1.856271_1	Pfam,CDD,Hamap,TIGRFAM	PF01668,cd09294,MF_00023,TIGR00086	IPR000037	SmpB protein,SmpB,SsrA-binding protein [smpB].,smpB: SsrA-binding protein	GO:0003723	"NA"
NODE_612_length_2184_cov_1.856271_2	CDD,Pfam	cd08186,PF00465	IPR001670	Fe-ADH8,Iron-containing alcohol dehydrogenase	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_6120_length_292_cov_1.088608_1	Pfam	PF03833	IPR016033	DNA polymerase II large subunit DP2	"NA"	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_6123_length_292_cov_0.894515_1	Pfam	PF04464	IPR007554	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	GO:0016020,GO:0047355	"NA"
NODE_6125_length_292_cov_0.835443_1	Pfam	PF01430	IPR000397	Hsp33 protein	GO:0005737,GO:0006457,GO:0051082	"NA"
NODE_6126_length_291_cov_106.016949_1	Pfam	PF01757	IPR002656	Acyltransferase family	GO:0016747	"NA"
NODE_6129_length_291_cov_1.800847_1	Pfam	PF00580	IPR034739	UvrD/REP helicase N-terminal domain	GO:0005524	"NA"
NODE_613_length_2183_cov_2.340695_1	TIGRFAM,Pfam	TIGR01171,PF03947	IPR005880,IPR022669	rplB_bact: ribosomal protein uL2,Ribosomal Proteins L2, C-terminal domain	GO:0003723,GO:0003735,GO:0006412,GO:0015934,GO:0016740,GO:0005840	"NA"
NODE_613_length_2183_cov_2.340695_2	TIGRFAM,Hamap,Pfam	TIGR01050,MF_00531,PF00203	IPR005732,IPR002222	rpsS_bact: ribosomal protein uS19,30S ribosomal protein S19 [rpsS].,Ribosomal protein S19	GO:0003735,GO:0006412,GO:0015935,GO:0005840	"NA"
NODE_613_length_2183_cov_2.340695_3	TIGRFAM,Pfam,Hamap,CDD	TIGR01044,PF00237,MF_01331_B,cd00336	IPR005727,IPR001063	rplV_bact: ribosomal protein uL22,Ribosomal protein L22p/L17e,50S ribosomal protein L22 [rplV].,Ribosomal_L22	GO:0003735,GO:0006412,GO:0015934,GO:0005840	"NA"
NODE_613_length_2183_cov_2.340695_4	Hamap,Pfam,CDD,Pfam,TIGRFAM	MF_01309_B,PF07650,cd02412,PF00189,TIGR01009	IPR005704,IPR004044,IPR001351	30S ribosomal protein S3 [rpsC].,KH domain,30S_S3_KH,Ribosomal protein S3, C-terminal domain,rpsC_bact: ribosomal protein uS3	GO:0003735,GO:0006412,GO:0015935,GO:0003723,GO:0005840	"NA"
NODE_613_length_2183_cov_2.340695_5	Pfam,TIGRFAM,CDD,Hamap	PF00252,TIGR01164,cd01433,MF_01342	IPR016180,IPR000114	Ribosomal protein L16p/L10e,rplP_bact: ribosomal protein uL16,Ribosomal_L16_L10e,50S ribosomal protein L16 [rplP].	GO:0003735,GO:0005840,GO:0006412,GO:0019843	"NA"
NODE_6130_length_291_cov_1.788136_1	Pfam	PF03030	IPR004131	Inorganic H+ pyrophosphatase	GO:0004427,GO:0009678,GO:0015992,GO:0016020	KEGG:00190+3.6.1.1
NODE_6131_length_291_cov_1.639831_1	Pfam	PF02127	IPR001948	Aminopeptidase I zinc metalloprotease (M18)	GO:0004177,GO:0006508,GO:0008270	"NA"
NODE_6132_length_291_cov_1.567797_1	Pfam,TIGRFAM	PF01634,TIGR00070	IPR013820	ATP phosphoribosyltransferase,hisG: ATP phosphoribosyltransferase	GO:0000105,GO:0003879,GO:0005737	KEGG:00340+2.4.2.17
NODE_6137_length_291_cov_1.495763_1	TIGRFAM,Pfam	TIGR03455,PF08029	IPR013115	HisG_C-term: ATP phosphoribosyltransferase, C-terminal domain,HisG, C-terminal domain	GO:0000105,GO:0000287,GO:0003879,GO:0005737	KEGG:00340+2.4.2.17
NODE_6139_length_291_cov_1.203390_1	Pfam	PF00587	IPR002314	tRNA synthetase class II core domain (G, H, P, S and T)	GO:0000166,GO:0004812,GO:0005524,GO:0006418	"NA"
NODE_614_length_2182_cov_2068.931359_2	Pfam	PF01548	IPR002525	Transposase	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_614_length_2182_cov_2068.931359_3	Pfam	PF02371	IPR003346	Transposase IS116/IS110/IS902 family	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_6142_length_291_cov_1.199153_1	Pfam	PF02421	IPR030389	Ferrous iron transport protein B	GO:0005525	"NA"
NODE_6145_length_291_cov_1.169492_1	Pfam	PF00395	IPR001119	S-layer homology domain	"NA"	"NA"
NODE_6147_length_291_cov_1.055085_1	Pfam	PF07568	IPR011495	Histidine kinase	"NA"	"NA"
NODE_6149_length_291_cov_0.902542_1	Pfam	PF13439	IPR028098	Glycosyltransferase Family 4	"NA"	"NA"
NODE_615_length_2180_cov_2.479529_1	CDD,Pfam,Pfam	cd07377,PF07729,PF00392	IPR000524,IPR011711	WHTH_GntR,FCD domain,Bacterial regulatory proteins, gntR family	GO:0003700,GO:0006355	"NA"
NODE_615_length_2180_cov_2.479529_2	Hamap,Pfam,TIGRFAM	MF_00106,PF03786,TIGR00695	IPR004628	Mannonate dehydratase [uxuA].,D-mannonate dehydratase (UxuA),uxuA: mannonate dehydratase	GO:0006064,GO:0008927	KEGG:00040+4.2.1.8
NODE_6151_length_291_cov_0.894068_1	Pfam	PF00056	IPR001236	lactate/malate dehydrogenase, NAD binding domain	GO:0016491,GO:0055114	"NA"
NODE_6152_length_291_cov_0.860169_1	Pfam	PF01594	IPR002549	AI-2E family transporter	"NA"	"NA"
NODE_6153_length_291_cov_0.805085_1	Pfam	PF16916	IPR027470	Dimerisation domain of Zinc Transporter	"NA"	"NA"
NODE_6156_length_290_cov_2.102128_1	Pfam	PF03309	IPR004619	Type III pantothenate kinase	GO:0004594	KEGG:00770+2.7.1.33
NODE_6157_length_290_cov_2.059574_1	Pfam,CDD	PF00398,cd02440	IPR001737	Ribosomal RNA adenine dimethylase,AdoMet_MTases	"NA"	"NA"
NODE_6158_length_290_cov_1.812766_1	Pfam	PF01212	IPR001597	Beta-eliminating lyase	GO:0006520,GO:0016829	"NA"
NODE_6159_length_290_cov_1.510638_1	Pfam	PF03466	IPR005119	LysR substrate binding domain	"NA"	"NA"
NODE_616_length_2180_cov_2.048941_1	CDD,Pfam	cd01041,PF02915	IPR003251	Rubrerythrin,Rubrerythrin	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_616_length_2180_cov_2.048941_2	CDD,Pfam,CDD,Pfam	cd04905,PF01842,cd13633,PF00800	IPR002912,IPR001086	ACT_CM-PDT,ACT domain,PBP2_Sa-PDT_like,Prephenate dehydratase	GO:0004664,GO:0009094	KEGG:00400+4.2.1.51
NODE_616_length_2180_cov_2.048941_3	Pfam	PF01979	IPR006680	Amidohydrolase family	GO:0016787	"NA"
NODE_6160_length_290_cov_1.463830_1	Pfam	PF13524	"NA"	Glycosyl transferases group 1	"NA"	"NA"
NODE_6162_length_290_cov_1.438298_1	Pfam	PF03572	IPR005151	Peptidase family S41	GO:0006508,GO:0008236	"NA"
NODE_6166_length_290_cov_1.208511_1	Pfam	PF01252	IPR001872	Signal peptidase (SPase) II	GO:0004190,GO:0006508,GO:0016020	"NA"
NODE_6167_length_290_cov_1.204255_1	Pfam	PF04551	IPR004588	GcpE protein	GO:0016114,GO:0046429,GO:0055114	KEGG:00900+1.17.7.3
NODE_6168_length_290_cov_1.204255_1	Pfam,TIGRFAM	PF02505,TIGR03260	IPR003901	Methyl-coenzyme M reductase operon protein D,met_CoM_red_D: methyl-coenzyme M reductase operon protein D	GO:0015948	"NA"
NODE_6169_length_290_cov_1.204255_1	Pfam	PF00294	IPR011611	pfkB family carbohydrate kinase	"NA"	"NA"
NODE_617_length_2175_cov_3.058962_1	Pfam,Hamap,CDD,TIGRFAM	PF01960,MF_01106,cd02152,TIGR00120	IPR002813	ArgJ family,Arginine biosynthesis bifunctional protein ArgJ [argJ].,OAT,ArgJ: glutamate N-acetyltransferase/amino-acid acetyltransferase	GO:0004358,GO:0006526	KEGG:00220+2.3.1.35+2.3.1.1
NODE_617_length_2175_cov_3.058962_2	TIGRFAM,Hamap,Pfam,Pfam	TIGR01850,MF_00150,PF01118,PF02774	IPR000706,IPR000534,IPR012280	argC: N-acetyl-gamma-glutamyl-phosphate reductase,N-acetyl-gamma-glutamyl-phosphate reductase [argC].,Semialdehyde dehydrogenase, NAD binding domain,Semialdehyde dehydrogenase, dimerisation domain	GO:0003942,GO:0006526,GO:0055114,GO:0016620,GO:0051287,GO:0005737,GO:0008652,GO:0046983	KEGG:00220+1.2.1.38
NODE_6171_length_290_cov_1.182979_1	Pfam	PF02896	IPR000121	PEP-utilising enzyme, TIM barrel domain	GO:0016310,GO:0016772	"NA"
NODE_6175_length_290_cov_0.906383_1	Pfam,CDD	PF00041,cd00063	IPR003961	Fibronectin type III domain,FN3	GO:0005515	"NA"
NODE_6177_length_289_cov_2.106838_1	Pfam	PF00109	IPR014030	Beta-ketoacyl synthase, N-terminal domain	"NA"	"NA"
NODE_6178_length_289_cov_2.068376_1	Pfam	PF01039	IPR034733	Carboxyl transferase domain	"NA"	KEGG:00061+6.4.1.2,KEGG:00254+6.4.1.2,KEGG:00620+6.4.1.2,KEGG:00640+6.4.1.2,KEGG:00720+6.4.1.2
NODE_6179_length_289_cov_2.055556_1	TIGRFAM,Pfam	TIGR02874,PF09579	IPR014229	spore_ytfJ: sporulation protein YtfJ,Sporulation protein YtfJ (Spore_YtfJ)	"NA"	"NA"
NODE_618_length_2175_cov_1.893868_1	Pfam,Pfam,Pfam,Pfam,Pfam	PF02493,PF02493,PF02493,PF02493,PF02493	IPR003409	MORN repeat,MORN repeat,MORN repeat,MORN repeat,MORN repeat	"NA"	"NA"
NODE_618_length_2175_cov_1.893868_2	Pfam,Pfam	PF00724,PF07992	IPR001155,IPR023753	NADH:flavin oxidoreductase / NADH oxidase family,Pyridine nucleotide-disulphide oxidoreductase	GO:0010181,GO:0016491,GO:0055114	"NA"
NODE_6182_length_289_cov_1.807692_1	Pfam	PF02449	IPR013529	Beta-galactosidase	GO:0004565,GO:0005975,GO:0009341	KEGG:00052+3.2.1.23,KEGG:00511+3.2.1.23,KEGG:00531+3.2.1.23,KEGG:00600+3.2.1.23,KEGG:00604+3.2.1.23
NODE_6184_length_289_cov_1.517094_1	Pfam	PF00275	IPR001986	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	GO:0016765	"NA"
NODE_6185_length_289_cov_1.517094_1	Pfam	PF01841	IPR002931	Transglutaminase-like superfamily	"NA"	"NA"
NODE_6186_length_289_cov_1.517094_1	Pfam	PF00330	IPR001030	Aconitase family (aconitate hydratase)	GO:0008152	KEGG:00290+4.2.1.33
NODE_619_length_2174_cov_969.613969_1	CDD,CDD,Pfam	cd14253,cd08548,PF00963	IPR002102	Dockerin,Type_I_cohesin_like,Cohesin domain	GO:0000272,GO:0030246	"NA"
NODE_619_length_2174_cov_969.613969_2	CDD,CDD,Pfam,Pfam	cd08547,cd08547,PF00963,PF00963	IPR002102	Type_II_cohesin,Type_II_cohesin,Cohesin domain,Cohesin domain	GO:0000272,GO:0030246	"NA"
NODE_6196_length_289_cov_1.209402_1	Pfam	PF04616	IPR006710	Glycosyl hydrolases family 43	GO:0004553,GO:0005975	"NA"
